tag,patterns,responses,content
L3268, That morning.  He was talking to me and Leon about marriage., Oh my G-d.  We were having lunch here. He started making overtures - talking about little shoes next to his in his closet but I got a call to anchor - and I walked out on him.  I walked out on him when he was trying to ask me to marry him!!,
L3267, Alright.  Go ahead., That morning.  He was talking to me and Leon about marriage.,
L3266, I'm trying to tell you., Alright.  Go ahead.,
L3265, I want to hear everything he said., I'm trying to tell you.,
L3264, Well he..., I want to hear everything he said.,
L3263, What do you mean you know?  He told you he was gonna propose to me?, Well he...,
L3262, I know., What do you mean you know?  He told you he was gonna propose to me?,
L2591, Excuse me?, I know.,
L2590," Yes.  No.  Both.  When I was a boy I see movie at school called ""It's a Wonderful Life"" directed by Frank Capra. Ever since I want to come to America. Land of the free.  Home of the brave.  A land where anyone can be anything. As long as they are white.", Excuse me?,
L2589, Movies...to be in the movies or to see movies?," Yes.  No.  Both.  When I was a boy I see movie at school called ""It's a Wonderful Life"" directed by Frank Capra. Ever since I want to come to America. Land of the free.  Home of the brave.  A land where anyone can be anything. As long as they are white.",
L2588, I'm here for movies., Movies...to be in the movies or to see movies?,
L2587, What are you coming here to do?, I'm here for movies.,
L2586, A cheap hotel., What are you coming here to do?,
L2585, Yes we're in New York now.  But where are you planning to stay in New York?, A cheap hotel.,
L2584, New York., Yes we're in New York now.  But where are you planning to stay in New York?,
L2583, Then answer my questions.  Where were you planning to stay during the two weeks that you're here?, New York.,
L2582, I speak English., Then answer my questions.  Where were you planning to stay during the two weeks that you're here?,
L2576, Okay.  You're a Czech national and you're a Russian national.  How do you know one another?, I speak English.,
L2575, Yes...he's my friend., Okay.  You're a Czech national and you're a Russian national.  How do you know one another?,
L3403, He's yours but I take him in!  I'll drive him to the precinct you can have him but I'm walkin' him in., Yes...he's my friend.,
L3402, Well he killed my partner!, He's yours but I take him in!  I'll drive him to the precinct you can have him but I'm walkin' him in.,
L3401, He's my collar!, Well he killed my partner!,
L3400, We're takin' him.  Don't argue!, He's my collar!,
L3399, No way!  He's mine!, We're takin' him.  Don't argue!,
L3398, I'll take him., No way!  He's mine!,
L2745, Evidence.  Of a homicide., I'll take him.,
L2744, What was that?, Evidence.  Of a homicide.,
L2743, Yeah well some people got their priorities straight., What was that?,
L2742, And while they're burning up they're still goin' down on each other?  You got to hand it to them., Yeah well some people got their priorities straight.,
L2741, That's what it looks like to me., And while they're burning up they're still goin' down on each other?  You got to hand it to them.,
L2740, So the way you see it two crack heads burned themselves up?, That's what it looks like to me.,
L2733, Thanks.  Appreciate it., So the way you see it two crack heads burned themselves up?,
L2732, No.  Go ahead., Thanks.  Appreciate it.,
L2773, Your civil rights?!  You tried to rob me!  I could arrest you right now! You're lucky you're walking away from this.  Now get outta here., No.  Go ahead.,
L2772, A dog pissed on me!!  I'm gonna sue you for this!  You violated my civil rights!, Your civil rights?!  You tried to rob me!  I could arrest you right now! You're lucky you're walking away from this.  Now get outta here.,
L2771, You okay?, A dog pissed on me!!  I'm gonna sue you for this!  You violated my civil rights!,
L2707, Hey.  C'mon you can't leave me like this.  Some freak'll come by and stab me!, You okay?,
L2706, I'll send a cop back for you., Hey.  C'mon you can't leave me like this.  Some freak'll come by and stab me!,
L2703, Oh yeah?  Guess again., I'll send a cop back for you.,
L2702, Fire Department?  Firemen don't carry guns., Oh yeah?  Guess again.,
L2701, Okay you're under arrest!  Now you happy?, Fire Department?  Firemen don't carry guns.,
L2700, Alright how 'bout all your fuckin' money?, Okay you're under arrest!  Now you happy?,
L2699, Look I don't have time for you get out of my way!!, Alright how 'bout all your fuckin' money?,
L2698, Got any spare change?  How 'bout a spare twenty?, Look I don't have time for you get out of my way!!,
L2813, Hey by the way I'm really sorry about your wife leavin' you., Got any spare change?  How 'bout a spare twenty?,
L2812, Yeah?  What kind?, Hey by the way I'm really sorry about your wife leavin' you.,
L2811, I used an accelerant., Yeah?  What kind?,
L2810, How did you start the fire this time?, I used an accelerant.,
L2809, Yeah I'm religious.  I'm not an Atheist like you!  Now are you guys gonna arrest me or not?, How did you start the fire this time?,
L2808, What's that on your forehead Max? That's a nice attention getter., Yeah I'm religious.  I'm not an Atheist like you!  Now are you guys gonna arrest me or not?,
L3344, They were inside.  They booby trapped her apartment!, What's that on your forehead Max? That's a nice attention getter.,
L3343, What the hell happened?, They were inside.  They booby trapped her apartment!,
L3342, Get outta here!, What the hell happened?,
L3288, Not good., Get outta here!,
L3287, How was it?, Not good.,
L3026, Lay down.  Stay down Bobby., How was it?,
L3025, It hurts.  Aw Jesus!, Lay down.  Stay down Bobby.,
L3024, Bobby Bobby!  Where're you hit?!, It hurts.  Aw Jesus!,
L2872, If I go home I won't be able to fall asleep anyway., Bobby Bobby!  Where're you hit?!,
L2871, Aren't you tired?, If I go home I won't be able to fall asleep anyway.,
L2870, You go home.  I'm takin' your car and goin' back to the crime scene., Aren't you tired?,
L2865, You hear that question Garcia?, You go home.  I'm takin' your car and goin' back to the crime scene.,
L2864, How long they been livin' here?, You hear that question Garcia?,
L2863, -- From Czechoslovakia?  And how long have they been livin' in your building?  Alright I'll be in touch when we know somethin'.  Milos and Tamina Karlova.  They were quiet and kept to themselves.  Landlord don't know who your girl is., How long they been livin' here?,
L2795, Maybe you can be his stand-in., -- From Czechoslovakia?  And how long have they been livin' in your building?  Alright I'll be in touch when we know somethin'.  Milos and Tamina Karlova.  They were quiet and kept to themselves.  Landlord don't know who your girl is.,
L2794, Yeah?, Maybe you can be his stand-in.,
L2793, Now that you know him maybe you can get extra work in the next movie they make about him., Yeah?,
L2768, There was a woman - I think she wanted to talk to us.  She looked scared.  Oh shit!  Oh no!, Now that you know him maybe you can get extra work in the next movie they make about him.,
L2767, What?, There was a woman - I think she wanted to talk to us.  She looked scared.  Oh shit!  Oh no!,
L2757, That's why he was so quiet.  He was testing us., What?,
L2756, What??, That's why he was so quiet.  He was testing us.,
L2755, He knew all along., What??,
L2754, You see Eddie's face when I gave him the timer?  Wish I had a picture of it., He knew all along.,
L2739, But you knew that right?, You see Eddie's face when I gave him the timer?  Wish I had a picture of it.,
L2738, The smoke'll permeate your nostrils - burn 'em out.  Let it run., But you knew that right?,
L2737, Don't blow your nose!, The smoke'll permeate your nostrils - burn 'em out.  Let it run.,
L2736, Clean?, Don't blow your nose!,
L2735, Mouth's clean too., Clean?,
L2725, Could you put out the cigar?  Part of the job is picking up scents., Mouth's clean too.,
L2724, Nah not at all.  Detective Flemming - Bobby Korfin.  My Uncle Tony worked with you at 2-1 back when you were a rookie., Could you put out the cigar?  Part of the job is picking up scents.,
L2721, 'Cause Eddie woulda locked him up by now!, Nah not at all.  Detective Flemming - Bobby Korfin.  My Uncle Tony worked with you at 2-1 back when you were a rookie.,
L2720, Oh yeah why?, 'Cause Eddie woulda locked him up by now!,
L2719, Naw - I'm sure the suspect's not here., Oh yeah why?,
L2718, You see anything in the crowd?  Anybody suspicious?, Naw - I'm sure the suspect's not here.,
L2717, I don't know you think Eddie will give me his autograph?, You see anything in the crowd?  Anybody suspicious?,
L2716, I heard.  Who the hell let them up there?, I don't know you think Eddie will give me his autograph?,
L2715, Where you been man?  We got a celebrity!, I heard.  Who the hell let them up there?,
L3427, GET OUTTA HERE NOW!!  GET IN THAT CAR AND DRIVE AWAY!!!  DO WHAT I SAY OR I'LL KILL YOU TOO!!!, Where you been man?  We got a celebrity!,
L3426, Look you can't shoot him in cold blood., GET OUTTA HERE NOW!!  GET IN THAT CAR AND DRIVE AWAY!!!  DO WHAT I SAY OR I'LL KILL YOU TOO!!!,
